t,ra,dec,xi,eta,x,y,flag,q,col,row,flat,scale,response
768413539.289,242.369337782515,53.6749887936211,-12254.13,-10725.11,-18189.67,-15004.71,0,10.0,195.7645,221.24817,0.8743247,1.0317161920809204,0.9020549288468318
768413549.956,242.370388611696,53.6751628179821,-12382.08,-10727.6,-18374.7,-15046.74,0,12.0,193.632,221.20667,0.88690656,1.0317161863387936,0.9150358580920855
768413553.1,242.370149961441,53.6759049984781,-12405.76,-10695.45,-18405.21,-15018.72,0,10.0,193.23734,221.7425,0.88690656,1.0317161846463547,0.9150358565910504
768413557.079,242.371750372752,53.6749799780607,-12463.36,-10720.42,-18504.53,-15004.71,0,11.0,192.27734,221.32632,0.8828033,1.031716182504429,0.9108024721253999
772224474.73,242.367564151498,53.6738774666344,6056.976,-14870.02,8841.158,-20986.98,0,13.0,500.94962,152.16634,0.8358759,1.0296782469893104,0.8606832606574791
772224476.21,242.365289799075,53.6716794988248,6154.214,-14824.66,8991.643,-20930.94,0,14.0,502.57025,152.92232,0.8339326,1.0296782462031087,0.8586822349470966
772224478.335,242.370161069537,53.6740341644939,6073.36,-14891.06,8873.769,-20972.97,0,12.0,501.22266,151.8157,0.83492637,1.0296782450742719,0.8597055161390711
772224484.18,242.366172288226,53.6712009611842,6246.864,-14777.31,9122.965,-20874.9,0,6.0,504.11438,153.71152,0.8481758,1.029678241969307,0.8733481910164508
772224488.7,242.371509040272,53.6743145373915,6170.797,-14848.74,9006.674,-20888.91,0,13.0,502.84662,152.521,0.8339326,1.029678239568205,0.8586822294140343
772224488.785,242.365927716113,53.6713080896212,6298.235,-14748.68,9150.829,-20762.82,0,12.0,504.9706,154.18866,0.81549406,1.0296782395230515,0.8396964885739877
772224488.915,242.367411575407,53.6709576786139,6307.249,-14781.38,9208.844,-20790.84,0,13.0,505.1208,153.64366,0.8454586,1.0296782394539932,0.8705503503201769
772224519.79,242.370740654884,53.6737575577351,6559.632,-14956.94,9592.527,-21057.03,0,10.0,509.3272,150.71767,0.82961774,1.0296782230526609,0.8542393190220426
772224553.355,242.369700277312,53.6729119944018,6466.729,-15212.99,9415.057,-21421.29,0,14.0,507.77884,146.45016,0.8383775,1.029678205222356,0.8632590145172943
772224554.825,242.367154615007,53.6725447618106,6470.077,-15162.29,9471.488,-21379.26,0,15.0,507.83463,147.29517,0.82862514,1.029678204441467,0.8532172489609704
772224564.85,242.367220173523,53.6732838499059,6284.632,-15136.41,9184.495,-21365.25,0,13.0,504.74387,147.72649,0.84124434,1.029678199116015,0.8662109569689792
772224566.205,242.367099946067,53.6732361940694,6267.327,-15126.54,9163.839,-21295.2,0,11.0,504.45547,147.89099,0.84124434,1.029678198396216,0.8662109563634522
772224568.255,242.368810359193,53.6724340478188,6264.654,-15154.31,9143.622,-21379.26,0,9.0,504.4109,147.42818,0.84124434,1.0296781973072209,0.8662109554473413
772224572.77,242.372077421887,53.6732961008257,6168.615,-15182.48,9008.168,-21435.3,0,11.0,502.81024,146.95866,0.83972955,1.0296781949087754,0.8646512046819913
772224578.78,242.370913613822,53.6728593518475,6139.378,-15099.04,8977.227,-21239.16,0,15.0,502.32297,148.34933,0.8442409,1.0296781917161606,0.8692964472535848
772224583.695,242.371846279854,53.6729929137357,6108.437,-15063.74,8916.664,-21267.18,0,11.0,501.8073,148.93765,0.8311913,1.0296781891052285,0.8558595539697875
772224586.67,242.370861078329,53.6739572018951,6075.41,-15001.31,8868.144,-21113.07,0,21.0,501.25684,149.97818,0.8452095,1.0296781875248577,0.8702937647573717
772224593.45,242.368937014409,53.6737209225185,6104.903,-14885.52,8915.17,-20944.95,0,12.0,501.74838,151.90802,0.83492637,1.0296781839232059,0.8597054650824337
772224606.915,242.368016164721,53.6714631292963,6303.687,-14755.89,9206.734,-20818.86,0,13.0,505.06143,154.0685,0.82864016,1.0296781767703682,0.853232692179696
772224608.225,242.370805769828,53.6742613807051,6211.042,-14792.3,9076.466,-20790.84,0,15.0,503.51733,153.46167,0.8258803,1.0296781760744738,0.8503909097134458
772224619.065,242.369703807598,53.6721758791281,6426.727,-14764.36,9373.832,-20776.83,0,12.0,507.11212,153.92732,0.83067805,1.029678170316081,0.8553310502692523
772224620.285,242.36588187801,53.6729587490442,6427.228,-14683.95,9373.832,-20678.76,0,8.0,507.12045,155.2675,0.81399745,1.0296781696679962,0.8381554018466367
772224621.28,242.368096025622,53.6726894779214,6443.142,-14737.24,9400.202,-20734.8,0,13.0,507.38574,154.37935,0.812393,1.0296781691394354,0.8365033468110906
772224628.81,242.370900589989,53.6728127891972,6533.021,-14844.37,9502.43,-20888.91,0,14.0,508.88367,152.59383,0.83477515,1.0296781651393714,0.8595497445729029
772224634.21,242.372160873299,53.6730584729869,6583.635,-14914.78,9607.03,-21000.99,0,12.0,509.72723,151.42033,0.852279,1.0296781622707993,0.8775730821174921
772224647.405,242.367661137844,53.6710407282883,6726.611,-14986.26,9841.724,-21071.04,0,14.0,512.11017,150.22897,0.8089164,1.0296781552613914,0.8329235361563571
772224491.24,242.369974579931,53.6746727958857,6194.391,-14805.39,9035.153,-20846.88,0,11.0,503.23987,153.24352,0.8258803,1.029678238218913,0.8503909610373132
772224515.235,242.36570627653,53.6755039283542,6469.699,-14804.04,9462.171,-20888.91,0,14.0,507.82834,153.266,0.83067805,1.0296782254723553,0.8553310960863584
772224518.175,242.367346781329,53.6760158364245,6477.397,-14857.64,9433.164,-20916.93,0,14.0,507.9566,152.37267,0.83090013,1.0296782239105766,0.8555597728403929
772224530.095,242.36919364359,53.6749323900823,6564.774,-15029.29,9601.757,-21211.14,0,12.0,509.4129,149.51184,0.8388161,1.0296782175784676,0.8637106732310984
772224532.84,242.371197184618,53.6752537864709,6550.959,-15099.0,9556.752,-21267.18,0,13.0,509.18265,148.35,0.8410598,1.0296782161202764,0.8660209585947901
772224535.85,242.368561037781,53.6759307357213,6527.627,-15070.1,9516.933,-21211.14,0,15.0,508.7938,148.83168,0.84512645,1.0296782145213124,0.8702082941443673
